Age,Males,Females
18,411588,397498
19,424505,419028
20,447432,425888
21,433609,418121
22,430334,425445
23,433746,434588
24,419020,429015
25,435241,430138
26,430806,432373
27,425391,429113
28,425128,432582
29,428488,437080
30,437595,442199
31,432334,435401
32,411747,411141
33,387624,388723
34,390012,388673
35,391313,396842
36,401624,406654
37,410101,415814
38,429969,435967
39,449303,456890
40,453430,466723
41,447356,458286
42,458079,471542
43,458591,469702
44,466446,475480
45,464741,477982
46,469717,482278
47,461419,473835
48,454785,464572
49,442910,450861
50,431315,438712
51,411549,418991
52,405871,413744
53,398161,404623
54,381852,389636
55,367483,374194
56,358924,367662
57,360725,368877
58,351768,361491
59,346698,356256
60,347932,359598
61,357350,371268
62,366898,379526
63,397077,412526
64,399655,416144
65,306635,321433
66,322473,339297
67,302191,319562
68,284518,305057
69,247538,268776
70,235965,259537
71,243910,269681
72,237242,265331
73,228578,256833
74,216926,248742
75,203623,238578
76,192863,228831
77,177200,215746
78,169341,212297
79,160406,207134
80,151307,203348